,ds,y,yhat,difference,%-diff
0,2020-07-20,164767.7040942184,164695.59621585876,72.10787835964584,0.0004376335687630429
1,2020-07-21,163924.63691301152,163852.5290346519,72.10787835961673,0.00043988432561166267
2,2020-07-22,169592.04394767492,169519.93606931518,72.10787835973315,0.0004251843228092761
3,2020-07-23,174304.31779354232,174232.2099151826,72.10787835970405,0.000413689570473598
4,2020-07-24,176143.48595561972,176071.3780772602,72.10787835952942,0.0004093701107839854
5,2020-07-25,179113.41061154852,179041.3027331889,72.10787835961673,0.00040258224168373635
6,2020-07-26,178316.8763200343,178244.76844167477,72.10787835952942,0.00040438056031283197
